source_text,target_text
"Saudi HR Settings","إعدادات نظام الموارد البشرية السعودي"
"Saudi HR","الموارد البشرية السعودية"
"Saudi Enterprise Operations Center","مركز العمليات المؤسسي السعودي"
"Saudi Employee and Manager Self-Service","بوابة الخدمة الذاتية للموظف والمدير"
"Grounded Saudi HR Legal Guide","الدليل النظامي الموثّق للموارد البشرية"
"Saudi Government Integration","ملفات التكامل الحكومي"
"Saudi Government Transaction","سجل معاملات الجهات الحكومية"
"Government Provider","الجهة الحكومية"
"Connection Mode","نمط الربط"
"File Exchange","تبادل ملفات"
"API Sandbox","واجهة تجريبية"
"Live API","واجهة فعلية"
"Request Fingerprint","بصمة الطلب"
"Evidence Fingerprint","بصمة الإثبات"
"Production Readiness","جاهزية الإنتاج"
"Employee","موظف"
"Company","شركة"
"Department","قسم"
"Designation","مسمى وظيفي"
"Contract Type","نوع العقد"
"Contract Status","حالة العقد"
"Start Date","تاريخ البدء"
"End Date","تاريخ الانتهاء"
"Probation Period","فترة التجربة"
"Basic Salary","الراتب الأساسي"
"Housing Allowance","بدل السكن"
"Transport Allowance","بدل المواصلات"
"Total Salary","إجمالي الراتب"
"Nationality","الجنسية"
"Iqama Number","رقم الإقامة"
"Termination Reason","سبب إنهاء الخدمة"
"Years of Service","سنوات الخدمة"
"Gross EOSB","إجمالي مكافأة نهاية الخدمة"
"Net EOSB","صافي مكافأة نهاية الخدمة"
"Resignation Factor","معامل الاستقالة"
"Payment Status","حالة الدفع"
"Pending","معلق"
"Paid","مدفوع"
"Overtime Hours","ساعات العمل الإضافي"
"Overtime Amount","مبلغ العمل الإضافي"
"Approval Status","حالة الموافقة"
"Approved","موافق"
"Rejected","مرفوض"
"Contribution Base","وعاء الاشتراك"
"Employee Contribution","اشتراك الموظف"
"Employer Contribution","اشتراك صاحب العمل"
"Total Contribution","إجمالي الاشتراك"
"Saudization Percentage","نسبة السعودة"
"Saudi Employees","موظفون سعوديون"
"Non-Saudi Employees","موظفون غير سعوديين"
"Total Employees","إجمالي الموظفين"
"Compliance Status","حالة الامتثال"
"Compliant","ممتثل"
"Non-Compliant","غير ممتثل"
"At Risk","في خطر"
"Iqama Status","حالة الإقامة"
"Active","نشط"
"Expiring Soon","ينتهي قريباً"
"Expired","منتهي"
"Days to Expiry","الأيام المتبقية للانتهاء"
"Entitled Days","الأيام المستحقة"
"Leave Start Date","تاريخ بداية الإجازة"
"Leave End Date","تاريخ نهاية الإجازة"
"Full Pay","أجر كامل"
"Total Leave Pay","إجمالي أجر الإجازة"
"Notice Period","فترة الإشعار"
"Notice Start Date","تاريخ بداية الإشعار"
"Last Working Day","آخر يوم عمل"
"During Probation Period","خلال فترة التجربة"
"GOSI Monthly Report","تقرير التأمينات الاجتماعية الشهري"
"EOSB Calculation Report","تقرير حساب مكافأة نهاية الخدمة"
"Work Permit Expiry Report","تقرير انتهاء تصاريح العمل"
"Nitaqat Compliance Report","تقرير الامتثال لنطاقات"
"Saudi Leave Balance Report","تقرير رصيد الإجازات السنوية"
"Contract Expiry Report","تقرير انتهاء العقود"
"Joining Date","تاريخ الانضمام"
"Termination Date","تاريخ الإنهاء"
"Calculation Notes","ملاحظات الحساب"
"Medical Certificate Attached","تم إرفاق الشهادة الطبية"
"Hospital","المستشفى"
"Pay Rate","نسبة الأجر"
"Full Pay Days","أيام الأجر الكامل"
"Partial Pay Days","أيام الأجر الجزئي"
"Saudi Annual Leave","إجازة سنوية سعودية"
"Saudi Leave Policy","سياسة استحقاق الإجازات"
"Saudi Leave Policy Assignment","إسناد سياسة الإجازات"
"Saudi Sick Leave","إجازة مرضية سعودية"
"Saudi Maternity Leave","إجازة أمومة سعودية"
"Saudi Paternity Leave","إجازة أبوة سعودية"
"Hajj Leave","إجازة الحج"
"Bereavement Leave","إجازة وفاة"
"Total Probation cannot exceed 180 days","لا يجوز أن يتجاوز مجموع فترة التجربة 180 يوماً"
"Cannot submit unless Approval Status is Approved","لا يمكن الاعتماد إلا إذا كانت حالة الموافقة 'موافق'"
"Medical certificate must be attached before submitting","يجب إرفاق الشهادة الطبية قبل الاعتماد"
"Don't forget to create an End of Service Benefit document","لا تنسَ إنشاء وثيقة مكافأة نهاية الخدمة"
"GOSI contribution base capped at","تم تقييد وعاء الاشتراك بـ"
"Sick Leave Alert","تنبيه إجازة مرضية"
"Employee has entered the unpaid sick-leave tier after 90 days","دخل الموظف شريحة الإجازة المرضية دون أجر بعد 90 يوماً"
"Do not initiate termination automatically","لا تبدأ إجراء إنهاء الخدمة تلقائياً"
"Attendance Location","موقع الحضور"
"Location Name / اسم الموقع","موقع الحضور"
"Branch / الفرع","الفرع"
"Active / نشط","نشط"
"GPS Coordinates / إحداثيات GPS","إحداثيات GPS"
"Latitude / خط العرض","خط العرض"
"Longitude / خط الطول","خط الطول"
"Allowed Radius (meters) / النطاق المسموح به (متر)","النطاق المسموح به (متر)"
"Map Preview / معاينة الموقع على الخريطة","معاينة الموقع على الخريطة"
"Settings / الإعدادات","الإعدادات"
"Location Name","اسم الموقع"
"Allowed Radius","النطاق المسموح به"
"Mobile Attendance","حضور الجوال"
"GPS Attendance","الحضور عبر GPS"
"Attendance","الحضور"
"Employee Checkin","تسجيل حضور الموظف"
"You are {0} meters from the branch. Allowed radius is {1} meters.","أنت بعيد عن الفرع بمسافة {0} متر. الحد المسموح به هو {1} متر."
"Could not get GPS coordinates. Please allow location permission and try again.","تعذّر الحصول على إحداثيات GPS. يرجى السماح بإذن الموقع وإعادة المحاولة."
"Check-in recorded successfully at {0}","تم تسجيل الحضور بنجاح في {0}"
"Check-out recorded. Total working hours: {0}.","تم تسجيل الانصراف. مجموع ساعات العمل: {0} ساعة."
"Check-out recorded successfully at {0}","تم تسجيل الانصراف بنجاح في {0}"
"Your account is not linked to an active employee record.","لم يتم ربط حسابك بسجل موظف نشط."
"HR Policy Document","وثيقة سياسة الموارد البشرية"
"Legal Reference Matrix","مصفوفة المراجع النظامية"
"HR Compliance Action Log","سجل إجراءات الامتثال"
"Absence Case","حالة غياب"
"Investigation Record","سجل تحقيق"
"Employee Grievance","تظلم موظف"
"Disciplinary Appeal","اعتراض تأديبي"
"Work Injury","إصابة العمل"
"Define when the policy starts, when it should be reviewed, and who owns it.","حدد متى تبدأ السياسة، ومتى يجب مراجعتها، ومن المسؤول عنها."
"Capture the legal basis and risk level that justify this policy.","وثّق الأساس النظامي ومستوى المخاطر الذي يبرر هذه السياسة."
"Store the policy summary and the latest approved attachment for operational use.","احفظ ملخص السياسة وآخر مرفق معتمد للاستخدام التشغيلي."
"Register the legal article, its effective date, and the internal owner responsible for monitoring it.","سجّل المادة النظامية وتاريخ سريانها والمسؤول الداخلي عن متابعتها."
"Map each legal obligation to a control, policy, and evidence requirement.","اربط كل التزام نظامي بضبط وسياسة ومتطلبات إثبات."
"Plan the action owner, date, priority, and deadline before execution starts.","حدد مسؤول الإجراء وتاريخه وأولويته وموعده النهائي قبل بدء التنفيذ."
"Link this action to the source record or employee that triggered the compliance work.","اربط هذا الإجراء بالسجل أو الموظف الذي تسبب في بدء عمل الامتثال."
"Document the corrective action, supporting evidence, and the final result.","وثّق الإجراء التصحيحي والأدلة المساندة والنتيجة النهائية."
"Record the absence period, its type, and any notice deadline sent to the employee.","سجّل فترة الغياب ونوعها وأي مهلة إشعار أُرسلت إلى الموظف."
"Capture the employee response and any escalation or disciplinary linkage.","وثّق رد الموظف وأي تصعيد أو ربط بإجراء تأديبي."
"Identify the source case, allegation date, and assigned investigator.","حدد الحالة المصدر وتاريخ الواقعة والمحقق المكلّف."
"Track the lifecycle of the investigation from opening to closure.","تابع دورة حياة التحقيق من الفتح حتى الإغلاق."
"Write the allegation, employee statement, findings, and recommended outcome.","اكتب ملخص الواقعة وإفادة الموظف والنتائج والتوصية النهائية."
"Register how the grievance was received, its type, and the assigned owner.","سجّل طريقة استلام التظلم ونوعه والمسؤول المكلّف به."
"Track due dates, first response, and final resolution timing.","تابع المهل الزمنية وتاريخ أول رد وموعد الحل النهائي."
"Summarize the grievance facts, requested remedy, and resolution outcome.","لخّص وقائع التظلم والمعالجة المطلوبة ونتيجة الحل."
"Record the appeal type, submission date, assignee, and hearing schedule.","سجّل نوع الاعتراض وتاريخ تقديمه والمسؤول عنه وموعد الجلسة."
"Capture the grounds, committee review notes, and final appeal decision.","وثّق أسباب الاعتراض وملاحظات اللجنة والقرار النهائي."
"Compliance Case Tracker","متابعة قضايا الامتثال"
"Policy Compliance Register","سجل امتثال السياسات"
"Saudi Labor Coverage Matrix","مصفوفة تغطية نظام العمل السعودي"
"Coverage Area / مجال التغطية","مجال التغطية"
"Legal Reference / المرجع النظامي","المرجع النظامي"
"Requirement / المتطلب","المتطلب"
"Component Type / نوع المكوّن","نوع المكوّن"
"Component / المكوّن","المكوّن"
"Implementation Status / حالة التنفيذ","حالة التنفيذ"
"Evidence / الدليل","الدليل"
"Notes / ملاحظات","ملاحظات"
"Coverage Status / حالة التغطية","حالة التغطية"
"Implemented / منفذ","منفذ"
"Partial / جزئي","جزئي"
"Gap / فجوة","فجوة"
"Coverage Ratio / نسبة التغطية","نسبة التغطية"
"Employment / التوظيف","التوظيف"
"Payroll & Benefits / الرواتب والمزايا","الرواتب والمزايا"
"Leave Management / الإجازات","الإجازات"
"Compliance / الامتثال","الامتثال"
"Recommended Next Phase / المرحلة التالية المقترحة","المرحلة التالية المقترحة"
"Employment contracts and terms / عقود العمل وشروطها","عقود العمل وشروطها"
"Probation controls and alerts / ضوابط وتنبيهات فترة التجربة","ضوابط وتنبيهات فترة التجربة"
"Training records and compliance / سجلات التدريب والامتثال","سجلات التدريب والامتثال"
"Disciplinary process and appeals / الإجراءات التأديبية والاعتراضات","الإجراءات التأديبية والاعتراضات"
"Termination notice approvals / موافقات إشعار إنهاء الخدمة","موافقات إشعار إنهاء الخدمة"
"End of service benefit / مكافأة نهاية الخدمة","مكافأة نهاية الخدمة"
"Payroll, attendance, and official records / الرواتب والحضور والسجلات الرسمية","الرواتب والحضور والسجلات الرسمية"
"Overtime compensation and approval / العمل الإضافي والاعتماد","العمل الإضافي والاعتماد"
"Annual leave entitlement / استحقاق الإجازة السنوية","استحقاق الإجازة السنوية"
"Special leave events / الإجازات الخاصة","الإجازات الخاصة"
"Sick leave thresholds and pay tiers / الإجازة المرضية وشرائح الأجر","الإجازة المرضية وشرائح الأجر"
"Parental leave / إجازة الأمومة والأبوة","إجازة الأمومة والأبوة"
"Work injuries and GOSI reporting / إصابات العمل والإبلاغ للتأمينات","إصابات العمل والإبلاغ للتأمينات"
"Labor disputes and escalation / النزاعات العمالية والتصعيد","النزاعات العمالية والتصعيد"
"Monthly social insurance processing / المعالجة الشهرية للتأمينات","المعالجة الشهرية للتأمينات"
"Saudization ratio monitoring / مراقبة نسبة السعودة","مراقبة نسبة السعودة"
"Wage protection file generation / إنشاء ملف حماية الأجور","إنشاء ملف حماية الأجور"
"Policy and legal obligation mapping / ربط السياسات بالالتزامات النظامية","ربط السياسات بالالتزامات النظامية"
"Labor inspection and violations / التفتيش العمالي والمخالفات","التفتيش العمالي والمخالفات"
"Preventive occupational safety controls / ضوابط السلامة المهنية الوقائية","ضوابط السلامة المهنية الوقائية"
"Flexible, part-time, and remote work controls / ضوابط العمل المرن والجزئي وعن بعد","ضوابط العمل المرن والجزئي وعن بعد"
"Special employment category controls / ضوابط الفئات الخاصة من العمالة","ضوابط الفئات الخاصة من العمالة"
"Proposed Module / مكوّن مقترح","مكوّن مقترح"
"Labor Inspection & Violations","التفتيش العمالي والمخالفات"
"Safety Inspection & Risk Controls","تفتيش السلامة وضوابط المخاطر"
"Work Arrangement Controls","ضوابط أنماط العمل"
"Women & Young Workers Controls","ضوابط تشغيل النساء وصغار السن"
"Contract DocType with probation, hours, and expiry tracking.","نوع بيانات العقد مع فترة التجربة وساعات العمل ومتابعة الانتهاء."
"Core contract coverage is implemented in the employment lifecycle.","تغطية العقود الأساسية منفذة ضمن دورة حياة التوظيف."
"Probation validation in contract plus scheduled reminder before end date.","التحقق من فترة التجربة داخل العقد مع تذكير مجدول قبل تاريخ الانتهاء."
"Covers probation cap, end-date calculation, and proactive reminders.","يغطي الحد الأقصى لفترة التجربة واحتساب تاريخ النهاية والتنبيهات الاستباقية."
"Dedicated training register for mandatory and planned training.","سجل تدريب مخصص للتدريب الإلزامي والمخطط."
"Training compliance is modeled as a standalone HR record.","تم نمذجة امتثال التدريب كسجل مستقل في الموارد البشرية."
"Progressive discipline record plus appeal tracking with committee notes.","سجل للتدرج التأديبي مع تتبع الاعتراض وملاحظات اللجنة."
"Operational coverage exists for both disciplinary action and appeal review.","توجد تغطية تشغيلية لكل من الإجراء التأديبي ومراجعة الاعتراض."
"Termination notice document with approval routing and notice-period handling.","وثيقة إشعار إنهاء الخدمة مع مسار موافقات ومعالجة فترة الإشعار."
"Covers structured termination notice processing and approvals.","يغطي معالجة إشعار إنهاء الخدمة بشكل منظم مع الاعتمادات."
"EOSB computation record with supporting calculation report.","سجل احتساب مكافأة نهاية الخدمة مع تقرير داعم للحساب."
"Benefit calculation and analytical reporting are both implemented.","تم تنفيذ احتساب الاستحقاق والتقرير التحليلي معاً."
"Monthly payroll batch plus official attendance register with daily details.","دفعة رواتب شهرية مع سجل حضور رسمي يتضمن التفاصيل اليومية."
"Core wage and attendance registers are present in the app.","سجلات الأجور والحضور الأساسية موجودة في التطبيق."
"Overtime request flow with approval routing and payroll integration.","مسار طلب العمل الإضافي مع الموافقات والتكامل مع الرواتب."
"Overtime is modeled as a controlled request with approval states.","تم نمذجة العمل الإضافي كطلب مضبوط بحالات اعتماد."
"Annual leave disbursement and entitlement tracking.","صرف الإجازة السنوية وتتبع الاستحقاق."
"Annual leave coverage exists as an operational leave component.","تغطية الإجازة السنوية موجودة كمكوّن تشغيلي للإجازات."
"Special leave register for Hajj, bereavement, marriage, and similar events.","سجل للإجازات الخاصة مثل الحج والوفاة والزواج وما شابه."
"Special leave categories are represented in a dedicated record.","فئات الإجازات الخاصة ممثلة في سجل مخصص."
"Sick leave record plus threshold alerts and pay-rate handling.","سجل الإجازة المرضية مع تنبيهات الحدود ومعالجة شرائح الأجر."
"Sick leave coverage includes operational tracking and alerts.","تغطية الإجازة المرضية تشمل المتابعة التشغيلية والتنبيهات."
"Dedicated parental leave record for maternity and paternity cases.","سجل مخصص لإجازات الأمومة والأبوة."
"Parental leave is modeled as a dedicated leave component.","تم نمذجة إجازات الوالدين كمكوّن إجازات مستقل."
"Work injury record with Form 25 and deadline controls.","سجل إصابة عمل مع نموذج 25 وضوابط المهلة الزمنية."
"Reactive injury compliance is implemented and linked to GOSI timing.","امتثال إصابات العمل التفاعلي منفذ ومرتبط بمهل التأمينات."
"Labor dispute register for ministry and court escalation tracking.","سجل نزاعات عمالية لتتبع التصعيد أمام الوزارة والمحاكم."
"Dispute handling exists as a separate compliance record.","معالجة النزاعات موجودة كسجل امتثال مستقل."
"Contribution record, monthly report, and due alert notification.","سجل اشتراك مع تقرير شهري وتنبيه موعد الاستحقاق."
"GOSI processing is implemented across transaction, reporting, and notification layers.","تم تنفيذ معالجة التأمينات عبر طبقات المعاملة والتقرير والتنبيه."
"Saudization compliance record and analytical report.","سجل امتثال السعودة مع تقرير تحليلي."
"Nitaqat monitoring is implemented for tracking and reporting.","تم تنفيذ متابعة نطاقات للتتبع والتقارير."
"SIF export exists for WPS file generation.","يوجد تصدير SIF لإنشاء ملف حماية الأجور."
"Export is implemented, but rejection handling and full compliance lifecycle are not yet modeled.","تم تنفيذ التصدير، لكن معالجة الرفض ودورة الامتثال الكاملة لم تُنمذج بعد."
"Policy register, legal reference matrix, and compliance register report.","سجل سياسات مع مصفوفة مراجع نظامية وتقرير لسجل الامتثال."
"Internal compliance layer is operational and tied to the Saudi HR workspace.","طبقة الامتثال الداخلي تعمل ومربوطة بمساحة عمل Saudi HR."
"No dedicated inspection, violation, fine, or corrective-order entity was found.","لم يتم العثور على كيان مخصص للتفتيش أو المخالفات أو الغرامات أو أوامر التصحيح."
"This is the highest-value next compliance module to implement after the coverage matrix.","هذا هو أعلى مكوّن امتثال قيمة للتنفيذ بعد مصفوفة التغطية."
"Work injury tracking exists, but preventive safety inspections and risk controls are not modeled as standalone records.","تتبع إصابات العمل موجود، لكن تفتيشات السلامة الوقائية وضوابط المخاطر غير ممثلة كسجلات مستقلة."
"Recommended to complement work injury compliance with preventive controls and inspection logs.","يوصى باستكمال امتثال إصابات العمل بضوابط وقائية وسجلات تفتيش."
"No dedicated module was found for alternative work arrangements beyond the core employment contract.","لم يتم العثور على مكوّن مخصص لأنماط العمل البديلة خارج عقد العمل الأساسي."
"Implement if the target regulatory scope includes these arrangements explicitly.","يُنصح بالتنفيذ إذا كان النطاق النظامي المستهدف يشمل هذه الأنماط صراحةً."
"No standalone control layer was found for special employment categories beyond leave and general contract data.","لم يتم العثور على طبقة مستقلة لضوابط الفئات الخاصة من العمالة خارج بيانات الإجازات والعقد العامة."
"Implement only if required by the target interpretation of the executive regulations and annexes.","يُنصح بالتنفيذ فقط إذا كان مطلوباً وفق تفسير اللائحة التنفيذية وملحقاتها المستهدف."
"Compliance Actions by Area","إجراءات الامتثال حسب المجال"
"Legal Risk Distribution","توزيع المخاطر النظامية"
"Grievances by Type","التظلمات حسب النوع"
"Investigations by Case Type","التحقيقات حسب نوع الحالة"
"Approved HR Policies","السياسات المعتمدة"
"Compliance Actions In Progress","إجراءات الامتثال الجارية"
"Investigations In Progress","التحقيقات الجارية"
"Grievances Under Review","التظلمات قيد المراجعة"
"Appeals Under Review","الاعتراضات قيد المراجعة"
"High Risk Legal References","المراجع النظامية عالية المخاطر"
"Resolved Grievances","التظلمات المحلولة"
"Completed Compliance Actions","إجراءات الامتثال المكتملة"
"Absence Case / حالة الغياب","حالة الغياب"
"Employee / الموظف","الموظف"
"Employee Name / الاسم","الاسم"
"Company / الشركة","الشركة"
"Absence Type / نوع الغياب","نوع الغياب"
"Absence Status / حالة الغياب","حالة الغياب"
"Days / الأيام","الأيام"
"Investigation / التحقيق","التحقيق"
"Investigation Status / حالة التحقيق","حالة التحقيق"
"Grievance / التظلم","التظلم"
"Grievance Status / حالة التظلم","حالة التظلم"
"Compliance Action / إجراء الامتثال","إجراء الامتثال"
"Action Status / حالة الإجراء","حالة الإجراء"
"Policy / السياسة","السياسة"
"Policy Title / عنوان السياسة","عنوان السياسة"
"Category / التصنيف","التصنيف"
"Policy Status / حالة السياسة","حالة السياسة"
"Effective Date / تاريخ السريان","تاريخ السريان"
"Review Date / تاريخ المراجعة","تاريخ المراجعة"
"Legal Reference / المرجع النظامي","المرجع النظامي"
"Reference Status / حالة المرجع","حالة المرجع"
"Article / المادة","المادة"
"Risk / المخاطر","المخاطر"
"Labor Inspection","سجل التفتيش العمالي"
"Labor Inspection Violation","مخالفة تفتيش عمالي"
"Labor Inspection Tracker","متابعة التفتيش العمالي"
"At least one violation row is required","يجب إدخال بند مخالفة واحد على الأقل"
"Follow-up Due Date cannot be before Inspection Date","لا يمكن أن يكون موعد المتابعة قبل تاريخ التفتيش"
"Closure Date cannot be before Inspection Date","لا يمكن أن يكون تاريخ الإغلاق قبل تاريخ التفتيش"
"Correction Due Date cannot be before Inspection Date in row {0}","لا يمكن أن تكون مهلة التصحيح قبل تاريخ التفتيش في الصف {0}"
"Resolved On cannot be before Inspection Date in row {0}","لا يمكن أن يكون تاريخ المعالجة قبل تاريخ التفتيش في الصف {0}"
"Inspection {0}: {1}","التفتيش {0}: {1}"
"Inspection / التفتيش","التفتيش"
"Inspection Date / تاريخ التفتيش","تاريخ التفتيش"
"Inspection Status / حالة التفتيش","حالة التفتيش"
"Violation Category / فئة المخالفة","فئة المخالفة"
"Violation Status / حالة المخالفة","حالة المخالفة"
"Severity / الشدة","الشدة"
"Fine Amount / مبلغ الغرامة","مبلغ الغرامة"
"Correction Due Date / مهلة التصحيح","مهلة التصحيح"
"Violations / المخالفات","المخالفات"
"Total Inspections / إجمالي التفتيشات","إجمالي التفتيشات"
"Total Fines / إجمالي الغرامات","إجمالي الغرامات"
"From Date / من تاريخ","من تاريخ"
"To Date / إلى تاريخ","إلى تاريخ"
"Authority","الجهة"
"Dedicated inspection register with violation rows, fines, and corrective follow-up reporting.","سجل تفتيش مخصص يتضمن بنود المخالفات والغرامات وتقارير متابعة التصحيح."
"Inspection findings are now tracked operationally and linked to compliance actions for remediation.","أصبحت نتائج التفتيش تُتابَع تشغيلياً ومربوطة بإجراءات الامتثال للمعالجة."
"Professional HR Hub","مركز الموارد البشرية الاحترافي"
"Open Command Center","افتح مركز القيادة"
"Command Center","مركز القيادة"
"Search HR services","ابحث في خدمات الموارد البشرية"
"Open Feature Page","افتح صفحة الخدمة"
"ERPNext View","افتح السجل في ERPNext"
"Loading Saudi HR features...","جارٍ تحميل خدمات الموارد البشرية السعودية…"
"Unable to load the feature catalog.","تعذّر تحميل دليل الخدمات. تحقق من الاتصال ثم أعد المحاولة."
"No matching features found.","لم نعثر على خدمة مطابقة. غيّر كلمات البحث أو اختر كل الخدمات."
"Coverage","التغطية"
"Refresh / تحديث","تحديث"
"Saudi HR Command Center / مركز قيادة الموارد البشرية السعودية","مركز قيادة الموارد البشرية السعودية"
"Operational compliance health / صحة الامتثال التشغيلية","صحة الامتثال التشغيلية"
"Review task / راجع المهمة","راجع المهمة"
"Complete settlement / أكمل التسوية","أكمل التسوية"
"Create regulatory task / أنشئ مهمة تنظيمية","أنشئ مهمة تنظيمية"
"Review legal matrix / راجع المصفوفة القانونية","راجع المصفوفة القانونية"
"Open coverage report / افتح تقرير التغطية","افتح تقرير التغطية"
"Open HR hub / افتح مركز الموارد البشرية","افتح مركز الموارد البشرية"
"Final Settlement SLA","مهلة التسوية النهائية"
"Saudi Compliance Obligation Backlog","قائمة التزامات الامتثال السعودية"
"Saudi Legal Review Queue","قائمة المراجعة النظامية السعودية"
"Saudi HR Command Center","مركز قيادة الموارد البشرية السعودية"
"Work Regulation","لائحة تنظيم العمل"
"Disciplinary Violation Catalog","دليل المخالفات التأديبية"
"Disability Accommodation Catalog","دليل تيسيرات ذوي الإعاقة"
"Statutory HR Records Register","سجل بيانات الموارد البشرية النظامية"
"Ministry Filing Tracker","متابعة الإيداعات الوزارية"
"Training Disclosure Register","سجل الإفصاح عن التدريب"
"Employee Document Custody Log","سجل عهدة مستندات الموظفين"
"Contract Portal Evidence","أدلة توثيق العقود عبر المنصة"
"Training Agreement","اتفاقية التدريب"
"Disability Employment Compliance","امتثال توظيف ذوي الإعاقة"
"Expat Work Authorization Control","ضوابط تصاريح عمل الوافدين"
"Recruitment Service Provider Compliance","امتثال مزوّد خدمات التوظيف"
"Recruitment Provider Complaint","شكوى على مزوّد التوظيف"
"Work Arrangement Control","ضوابط أنماط العمل"
"Working Time Compliance Check","التحقق من امتثال ساعات العمل"
"Holiday Leave Overlap Rule","قواعد تداخل الإجازات والعطلات"
"Special Employment Category Control","ضوابط فئات التوظيف الخاصة"
"Safety Inspection and Risk Control","فحص السلامة وضبط المخاطر"
"Inspection Fine SLA","مهلة معالجة غرامات التفتيش"
"First Aid Cabinet Register","سجل خزانة الإسعافات الطبية"
"First Aid Cabinet Item","صنف خزانة الإسعافات"
"Remote Work Site Compliance","امتثال مواقع العمل البعيدة عن العمران"
"Saudi Only Profession","المهن المقصورة على السعوديين"
"Juvenile Prohibited Work","الأعمال المحظورة على الأحداث"
"Define benefits at or above Saudi statutory minimums, then assign the policy to a department or employee.","حدّد مزايا لا تقل عن الحدود النظامية السعودية، ثم عيّن السياسة لقسم أو موظف."
"Disabled policies are ignored when leave entitlement is resolved.","السياسات المعطلة لا تدخل في احتساب استحقاق الإجازة."
"Resolution priority: Employee, then Department, then Saudi HR Settings.","أولوية الاحتساب: الموظف، ثم القسم، ثم إعدادات الموارد البشرية السعودية."
"The selected policy is disabled.","سياسة الإجازات المحددة معطلة."
"Complete Employee File","ملف الموظف الشامل"
"Employee 360","ملف الموظف 360"
"Saudi Employee 360","ملف الموظف الشامل 360"
"Loading comprehensive employee file...","جارٍ تحميل ملف الموظف الشامل…"
"The comprehensive employee file could not be loaded.","تعذر تحميل ملف الموظف الشامل."
"Refresh the page or verify that your role can read this employee's records.","حدّث الصفحة أو تحقق من أن صلاحياتك تسمح بقراءة سجلات هذا الموظف."
"Reports to {0}","يتبع إداريًا لـ {0}"
"No reporting manager assigned","لم يُعيّن مدير مباشر"
"Joined {0}","تاريخ الانضمام {0}"
"Annual leave balance","رصيد الإجازة السنوية"
"days","يومًا"
"No leave policy assigned","لم تُعيّن سياسة إجازات"
"Attendance this month","حضور الشهر الحالي"
"hours","ساعات"
"{0} recorded days · {1} late days","{0} أيام مسجلة · {1} أيام تأخير"
"Priority actions","الإجراءات ذات الأولوية"
"Review the action ledger","راجع سجل الإجراءات"
"The operational file is complete","الملف التشغيلي مكتمل"
"Comprehensive employee file","ملف الموظف الشامل"
"Employment details need completion","بيانات العمل تحتاج إلى استكمال"
"File readiness: {0} percent","جاهزية الملف: {0} بالمئة"
"File readiness","جاهزية الملف"
"{0} of {1} operational checks complete","اكتمل {0} من {1} فحوص تشغيلية"
"Operational snapshot","الملخص التشغيلي"
"Contract, attendance, payroll and access in one view","العقد والحضور والرواتب والصلاحيات في عرض واحد"
"Next-action ledger","سجل الإجراء التالي"
"Prioritized from the employee's live records","مرتّب حسب الأولوية من سجلات الموظف الفعلية"
"Contract horizon","المدة المتبقية للعقد"
"Not available","غير متاح"
"Create or link an employment contract","أنشئ عقد عمل أو اربطه بالموظف"
"Open ended","غير محدد المدة"
"{0} days","{0} يومًا"
